annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,108,NONE,BEAM,>=120,1,39F4,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,36,NONE,BEAM,>=120,1,39F5,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,36,NONE,BEAM,>=120,1,40F3,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,144,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,72,NONE,BEAM,>=120,1,40F5,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,108,NONE,BEAM,>=120,1,41F5,3B2,BT1,CPART13B,O15M,2012
IIA,4,ENG,222,NONE,BEAM,100-119,1,38F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,30,NONE,BEAM,100-119,1,38F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,89,NONE,BEAM,100-119,1,39F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,1483,NONE,BEAM,100-119,1,39F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,1177,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,242,NONE,BEAM,100-119,1,40F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,1063,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,337,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,570,NONE,BEAM,80-89,1,32F1,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,144,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,102,NONE,BEAM,80-89,1,33F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,24,NONE,BEAM,80-89,1,33F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,130,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,342,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,132,NONE,BEAM,80-89,1,35F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,24,NONE,BEAM,80-89,1,35F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,69,NONE,BEAM,80-89,1,36F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,526,NONE,BEAM,80-89,1,36F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,430,NONE,BEAM,80-89,1,36F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,106,NONE,BEAM,80-89,1,36F5,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,58,NONE,BEAM,80-89,1,37F1,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,48,NONE,BEAM,80-89,1,37F2,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,333,NONE,BEAM,80-89,1,37F3,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,226,NONE,BEAM,80-89,1,37F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,448,NONE,BEAM,80-89,1,37F5,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,656,NONE,BEAM,80-89,1,37F6,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,24,NONE,BEAM,80-89,1,37F7,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,269,NONE,BEAM,80-89,1,38E9,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,60,NONE,BEAM,80-89,1,38F1,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,289,NONE,BEAM,80-89,1,38F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,1262,NONE,BEAM,80-89,1,38F5,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,714,NONE,BEAM,80-89,1,38F6,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,59,NONE,BEAM,80-89,1,39F5,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,374,NONE,BEAM,80-89,1,39F6,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,190,NONE,BEAM,80-89,1,40F4,3B2,BT2,CPART13B,O15M,2012
IIA,4,ENG,158,NONE,BEAM,80-89,1,40F6,3B2,BT2,CPART13B,O15M,2012
IIA,4,BEL,7,NONE,BEAM,16-31,1,31F1,3B2,BEAM,NONE,O15M,2012
IIA,4,BEL,1344,NONE,BEAM,16-31,1,31F2,3B2,BEAM,NONE,O15M,2012
IIA,4,BEL,520,NONE,BEAM,16-31,1,31F3,3B2,BEAM,NONE,O15M,2012
IIA,4,BEL,2381,NONE,BEAM,80-89,1,31F1,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,1761,NONE,BEAM,80-89,1,31F2,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,84,NONE,BEAM,80-89,1,31F3,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,824,NONE,BEAM,80-89,1,32F1,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,1252,NONE,BEAM,80-89,1,32F2,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,1,NONE,BEAM,80-89,1,32F3,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,105,NONE,BEAM,80-89,1,33F1,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,595,NONE,BEAM,80-89,1,33F2,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,8,NONE,BEAM,80-89,1,34F3,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,7,NONE,BEAM,80-89,1,36F2,3B2,BT2,NONE,O15M,2012
IIA,4,BEL,76,NONE,BEAM,80-89,1,36F3,3B2,BT2,NONE,O15M,2012
