annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,BEL,NONE,BEAM,0.007,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,10.375,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,14.123,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,7.431,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,3.756,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,4.801,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,5.408,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.17,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,1.678,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.156,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,2.238,80-89,1,37F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,5.593,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.4,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,1.991,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.11,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.21,80-89,1,38F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.197,80-89,1,38F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.423,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,1.12,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,0.2,80-89,1,40F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,BEAM,1.47,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.011,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.05,>=120,1,42F6,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.073,>=120,1,42F7,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,1.871,>=120,1,43F7,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.504,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,FRA,NONE,BEAM,0.02,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,>=120,1,38F5,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,100-119,1,36F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,100-119,1,37F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,100-119,1,38F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,100-119,1,39F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,100-119,1,39F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,100-119,1,40F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,100-119,1,40F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,SHR,BEAM,0,16-31,1,36F5,3B2,BEAM,SOL,NONE,O15M,2013
IIA,4,NLD,SHR,BEAM,1,16-31,1,36F6,3B2,BEAM,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,9,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,229,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,3,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,33,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,375,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,120,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,97,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,192,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,37,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,81,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,100,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,27,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,15,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,33,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,85,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,23,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,80-89,1,35F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,80-89,1,35F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,26,80-89,1,36F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,76,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,29,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,45,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,29,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,5,80-89,1,36F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,25,80-89,1,37F1,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,32,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,12,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,6,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,115,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,78,80-89,1,37F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,80-89,1,37F7,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,80-89,1,38F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,33,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,39,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,13,80-89,1,39F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,18,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,80-89,1,39F7,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,1,80-89,1,40F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,80-89,1,40F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,41,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,2,80-89,1,40F7,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,80-89,1,43F3,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,NLD,FLAT,BEAM,0,90-99,1,33F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,0.5741,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,1.4823,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,2.0366,80-89,1,37F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,0.9804,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,2.4438,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,1.0993,80-89,1,39F5,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,1.3093,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,4.3675,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,SCO,NONE,BEAM,0.2145,80-89,1,40F7,3B2,BT2,SOL,NONE,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0077,>=120,1,31F1,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0002,>=120,1,32F1,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0048,>=120,1,37F0,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0006,>=120,1,38E8,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0338,80-89,1,31F1,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0002,80-89,1,32F0,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.1232,80-89,1,32F1,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.1579,80-89,1,38E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0962,80-89,1,38E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0327,80-89,1,39E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0206,80-89,1,39E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.019,90-99,1,38E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0037,90-99,1,38E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0017,90-99,1,39E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0025,90-99,1,39E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0016,100-119,1,37E9,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0016,100-119,1,39E9,3B2,TR1,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0005,80-89,1,39E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0011,90-99,1,37E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0095,90-99,1,38E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0165,90-99,1,39E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.022,90-99,1,39E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0057,90-99,1,40E8,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,SCO,NONE,OTTER,0.0066,90-99,1,40E9,3B2,TR2,SOL,CPART13C,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0097,>=120,1,38F4,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0054,>=120,1,38F5,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0054,>=120,1,40F5,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0021,100-119,1,37F1,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0042,100-119,1,38F4,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0322,100-119,1,39F5,3B2,TR1,SOL,CPART13B,O15M,2013
IIA,4,DNK,GNS_DEF_110-149_0_0,GILL,0.001,110-149,1,43F8,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,DNK,GNS_DEF_150-219_0_0,GILL,0.001,150-219,1,43F8,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,1.1218,100-109,1,31F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0667,100-109,1,32F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0015,100-109,1,33F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0005,100-109,1,37E9,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0011,110-149,1,33F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0339,110-149,1,36E9,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0329,110-149,1,36F0,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0006,110-149,1,37E9,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0046,110-149,1,37F0,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0232,110-149,1,38E8,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.092,150-219,1,31F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0313,60-69,1,31F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0148,90-99,1,32F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,ENG,NONE,GILL,0.0056,90-99,1,33F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,FRA,NONE,GILL,0.116,90-99,1,31F1,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,NLD,PASS,GILL,0,100-109,1,33F4,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,NLD,PASS,GILL,0,110-149,1,33F4,3B2,GN1,SOL,NONE,U10M,2013
IIA,4,DNK,OTB_MCD_>=120_0_0,OTTER,0.002,>=120,1,41F7,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_>=120_0_0,OTTER,0.003,>=120,1,42F6,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_>=120_0_0,OTTER,0.022,>=120,1,42F7,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_>=120_0_0,OTTER,0.022,>=120,1,43F7,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_>=120_0_0,OTTER,0.001,>=120,1,43F8,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_100-119_0_0,OTTER,0.002,100-119,1,42F7,3B2,TR1,SOL,NONE,O10T15M,2013
IIA,4,DNK,OTB_MCD_90-99_0_0,OTTER,0.014,90-99,1,42F7,3B2,TR2,SOL,NONE,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.001,16-31,1,38E8,3B2,TR3,SOL,NONE,O10T15M,2013
IIA,4,ENG,NONE,OTTER,0.0023,>=120,1,39E8,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0724,80-89,1,38E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0331,80-89,1,39E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0003,90-99,1,38E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,ENG,NONE,OTTER,0.0003,90-99,1,38F0,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0146,>=120,1,38F5,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.001,>=120,1,39F0,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0209,>=120,1,39F5,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.1389,>=120,1,39F6,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.01,>=120,1,40F5,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0665,>=120,1,40F6,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.001,>=120,1,41F0,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0134,>=120,1,41F5,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0971,>=120,1,41F6,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0401,>=120,1,41F7,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.2034,>=120,1,42F6,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.039,>=120,1,42F7,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0021,>=120,1,43F7,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.001,100-119,1,38E8,3B2,TR1,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0052,80-89,1,38E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0077,80-89,1,39E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0021,80-89,1,39E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0047,80-89,1,40E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0013,80-89,1,40E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0002,80-89,1,44E7,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0222,90-99,1,38E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.007,90-99,1,38E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0392,90-99,1,39E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0217,90-99,1,39E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0114,90-99,1,40E8,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0008,90-99,1,40E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0005,90-99,1,41E9,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0073,90-99,1,41F0,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0015,90-99,1,42F0,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.002,90-99,1,42F1,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,SCO,NONE,OTTER,0.0005,90-99,1,43F1,3B2,TR2,SOL,CPART13C,O15M,2013
IIA,4,BEL,NONE,OTTER,0.085,>=120,1,41F5,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.06,100-119,1,42F6,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.05,70-79,1,31F2,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,3.1,70-79,1,32F1,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.127,70-79,1,36F2,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.074,70-79,1,37F1,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.108,70-79,1,37F2,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.05,70-79,1,39F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.01,70-79,1,39F6,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.24,70-79,1,40F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.27,70-79,1,40F6,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.103,70-79,1,41F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,BEL,NONE,OTTER,0.04,70-79,1,42F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,37F3,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,37F4,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,37F5,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,38F4,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.006,100-119,1,38F6,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,39F4,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.001,100-119,1,40F6,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.017,100-119,1,43F6,3B2,TR1,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.08,80-89,1,36F3,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.453,80-89,1,37F2,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.034,80-89,1,37F3,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.042,80-89,1,37F4,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.02,80-89,1,37F6,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.027,80-89,1,38F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.048,80-89,1,39F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.462,80-89,1,39F6,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.325,80-89,1,40F5,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.205,80-89,1,40F6,3B2,TR2,SOL,NONE,O15M,2013
IIA,4,DEU,NONE,OTTER,0.019,90-99,1,36F5,3B2,TR2,SOL,NONE,O15M,2013
