annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,ENG,NONE,BEAM,0.0494,80-89,1,32F1,3B2,BT2,SOL,NONE,O10T15M,2012
IIA,4,FRA,TBB_DEF_70-99_0_0,BEAM,1.09785,80-89,1,31F1,3B2,BT2,SOL,NONE,O10T15M,2012
IIA,4,FRA,TBB_DEF_70-99_0_0,BEAM,0.4572,80-89,1,31F2,3B2,BT2,SOL,NONE,O10T15M,2012
IIA,4,BEL,NONE,BEAM,30.79,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,27.557,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.334,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,9.036,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,25.055,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.2,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,1.563,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,12.051,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.075,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.09,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.35,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,0.24,80-89,1,37F1,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,BEL,NONE,BEAM,2.205,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.028,100-119,1,38F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.01,100-119,1,40F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.56,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,1.454,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.97,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.43,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,1.26,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,2.35,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,8.05,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,27.799999,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.04,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,1.88,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.68,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,9.478,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,7.761,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,1.824,80-89,1,37F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.32,80-89,1,37F8,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,1.56,80-89,1,38F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,6.654,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,2.219,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.017,80-89,1,39F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.51,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.1,80-89,1,40F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DEU,NONE,BEAM,0.07,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.055,>=120,1,40F6,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.007,>=120,1,41F7,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.056,>=120,1,42F6,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.164,>=120,1,42F7,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.176,>=120,1,42F8,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.001,>=120,1,43F5,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.03,>=120,1,43F6,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.583,>=120,1,43F7,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,DNK,TBB_DEF_>=120_0_0,BEAM,0.277,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.0062,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.4403,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,2.634,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.8945,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.1508,80-89,1,39F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.2184,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,ENG,NONE,BEAM,0.1645,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,FRA,TBB_DEF_70-99_0_0,BEAM,0.01798,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,FRA,TBB_DEF_70-99_0_0,BEAM,0.27162,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,39F3,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,39F4,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,40F4,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,40F5,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,>=120,1,41F6,3B2,BT1,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,32F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,33F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,3,100-119,1,33F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,37F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,38F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,38F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,39F2,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,39F3,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,1,100-119,1,39F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,39F5,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,1,100-119,1,40F4,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,0,100-119,1,40F6,3B2,BT2,SOL,NONE,O15M,2012
IIA,4,NLD,SHR,BEAM,0,16-31,1,32F3,3B2,BEAM,SOL,NONE,O15M,2012
IIA,4,NLD,SHR,BEAM,0,16-31,1,33F3,3B2,BEAM,SOL,NONE,O15M,2012
IIA,4,NLD,FLAT,BEAM,22,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2012
