annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,36,NONE,BEAM,>=120,1,39F4,3B2,BT1,CPART13B,O15M,2015
IIA,4,ENG,108,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2015
IIA,4,ENG,376,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,2002,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,211,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,24,NONE,BEAM,100-119,1,40F6,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,70,NONE,BEAM,80-89,1,31F1,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,105,NONE,BEAM,80-89,1,31F2,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,242,NONE,BEAM,80-89,1,32F1,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,453,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,30,NONE,BEAM,80-89,1,32F3,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,142,NONE,BEAM,80-89,1,33F2,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,30,NONE,BEAM,80-89,1,33F3,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,90,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,98,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,80,NONE,BEAM,80-89,1,35F1,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,24,NONE,BEAM,80-89,1,36F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,173,NONE,BEAM,80-89,1,36F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,40,NONE,BEAM,80-89,1,37F3,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,269,NONE,BEAM,80-89,1,37F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,738,NONE,BEAM,80-89,1,37F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,76,NONE,BEAM,80-89,1,37F6,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,245,NONE,BEAM,80-89,1,38F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,1476,NONE,BEAM,80-89,1,38F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,393,NONE,BEAM,80-89,1,38F6,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,77,NONE,BEAM,80-89,1,39F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,1216,NONE,BEAM,80-89,1,39F6,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,144,NONE,BEAM,80-89,1,40F4,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,27,NONE,BEAM,80-89,1,40F5,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,2133,NONE,BEAM,80-89,1,40F6,3B2,BT2,CPART13B,O15M,2015
IIA,4,ENG,165,NONE,BEAM,80-89,1,40F7,3B2,BT2,CPART13B,O15M,2015
IIA,4,BEL,2158,TBB_CRU_16-31_0_0,BEAM,16-31,1,31F2,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,324,TBB_CRU_16-31_0_0,BEAM,16-31,1,31F3,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,30,TBB_CRU_16-31_0_0,BEAM,16-31,1,32F1,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,22,TBB_CRU_16-31_0_0,BEAM,16-31,1,32F2,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,29,TBB_CRU_16-31_0_0,BEAM,16-31,1,32F3,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,41,TBB_CRU_16-31_0_0,BEAM,16-31,1,35F4,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,153,TBB_CRU_16-31_0_0,BEAM,16-31,1,35F5,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,15,TBB_CRU_16-31_0_0,BEAM,16-31,1,36F4,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,138,TBB_CRU_16-31_0_0,BEAM,16-31,1,36F5,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,52,TBB_CRU_16-31_0_0,BEAM,16-31,1,38F2,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,63,TBB_CRU_16-31_0_0,BEAM,16-31,1,38F7,3B2,BEAM,NONE,O15M,2015
IIA,4,BEL,938,TBB_DEF_80-89_0_0,BEAM,80-89,1,31F1,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,2184,TBB_DEF_80-89_0_0,BEAM,80-89,1,31F2,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,66,TBB_DEF_80-89_0_0,BEAM,80-89,1,31F3,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,456,TBB_DEF_80-89_0_0,BEAM,80-89,1,32F1,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,1753,TBB_DEF_80-89_0_0,BEAM,80-89,1,32F2,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,43,TBB_DEF_80-89_0_0,BEAM,80-89,1,33F1,3B2,BT2,NONE,O15M,2015
IIA,4,BEL,600,TBB_DEF_80-89_0_0,BEAM,80-89,1,33F2,3B2,BT2,NONE,O15M,2015
