annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,ENG,NONE,BEAM,0.0071,>=120,1,39F3,3B2,BT1,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.0364,>=120,1,39F4,3B2,BT1,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.0023,>=120,1,40F5,3B2,BT1,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.001,100-119,1,38F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.1083,100-119,1,38F4,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.0368,100-119,1,39F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.9386,100-119,1,39F4,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.0891,100-119,1,40F4,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.3158,100-119,1,40F5,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,2.1602,80-89,1,31F1,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,3.1292,80-89,1,32F1,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,37.7105,80-89,1,32F2,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,1.4778,80-89,1,32F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.6961,80-89,1,33F1,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,11.1836,80-89,1,33F2,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,2.1472,80-89,1,33F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,1.9044,80-89,1,34F2,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.4066,80-89,1,34F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.1676,80-89,1,34F4,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,5.3748,80-89,1,35F1,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,3.0479,80-89,1,35F2,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.9906,80-89,1,35F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,3.9676,80-89,1,36F1,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,0.9946,80-89,1,36F2,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,2.3358,80-89,1,36F3,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,2.6726,80-89,1,36F4,3B2,BT2,SOL,CPART13B,O15M,2014
IIA,4,ENG,NONE,BEAM,1.4555,80-89,1,36F5,3B2,BT2,SOL,CPART13B,O15M,2014
