annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,36,NONE,BEAM,>=120,1,39F3,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,321,NONE,BEAM,>=120,1,39F4,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,29,NONE,BEAM,>=120,1,39F5,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,36,NONE,BEAM,>=120,1,40F3,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,434,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,150,NONE,BEAM,>=120,1,40F5,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,94,NONE,BEAM,>=120,1,41F4,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,113,NONE,BEAM,>=120,1,41F5,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,>=120,1,42F6,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,120,NONE,BEAM,>=120,1,43F6,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,>=120,1,43F7,3B2,BT1,CPART13B,O15M,2013
IIA,4,ENG,45,NONE,BEAM,100-119,1,35F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,100-119,1,38F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,100-119,1,38F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,100-119,1,38F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,12,NONE,BEAM,100-119,1,38F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,132,NONE,BEAM,100-119,1,39F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,525,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,58,NONE,BEAM,100-119,1,39F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,100-119,1,40F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,32,NONE,BEAM,100-119,1,40F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,2067,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,304,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,60,NONE,BEAM,80-89,1,31F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,150,NONE,BEAM,80-89,1,32F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,90,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,270,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,168,NONE,BEAM,80-89,1,35F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,24,NONE,BEAM,80-89,1,35F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,24,NONE,BEAM,80-89,1,36F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,320,NONE,BEAM,80-89,1,36F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,214,NONE,BEAM,80-89,1,36F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,278,NONE,BEAM,80-89,1,36F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,200,NONE,BEAM,80-89,1,36F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,58,NONE,BEAM,80-89,1,37F1,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,48,NONE,BEAM,80-89,1,37F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,236,NONE,BEAM,80-89,1,37F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,354,NONE,BEAM,80-89,1,37F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,1597,NONE,BEAM,80-89,1,37F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,286,NONE,BEAM,80-89,1,37F6,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,30,NONE,BEAM,80-89,1,38F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,370,NONE,BEAM,80-89,1,38F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,877,NONE,BEAM,80-89,1,38F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,782,NONE,BEAM,80-89,1,38F6,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,29,NONE,BEAM,80-89,1,39F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,211,NONE,BEAM,80-89,1,39F5,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,248,NONE,BEAM,80-89,1,39F6,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,43,NONE,BEAM,90-99,1,32F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,22,NONE,BEAM,90-99,1,33F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,99,NONE,BEAM,90-99,1,34F2,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,28,NONE,BEAM,90-99,1,34F3,3B2,BT2,CPART13B,O15M,2013
IIA,4,ENG,24,NONE,BEAM,90-99,1,40F4,3B2,BT2,CPART13B,O15M,2013
IIA,4,BEL,2254,NONE,BEAM,16-31,1,31F2,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,701,NONE,BEAM,16-31,1,31F3,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,119,NONE,BEAM,16-31,1,32F3,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,88,NONE,BEAM,16-31,1,33F3,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,130,NONE,BEAM,16-31,1,34F4,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,49,NONE,BEAM,16-31,1,35F4,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,165,NONE,BEAM,16-31,1,35F5,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,67,NONE,BEAM,16-31,1,36F5,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,50,NONE,BEAM,16-31,1,36F6,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,86,NONE,BEAM,16-31,1,36F7,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,3,NONE,BEAM,16-31,1,37F5,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,178,NONE,BEAM,16-31,1,37F7,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,5,NONE,BEAM,16-31,1,38F7,3B2,BEAM,NONE,O15M,2013
IIA,4,BEL,139,NONE,BEAM,16-31,1,39F7,3B2,BEAM,NONE,O15M,2013
