annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,137,NONE,BEAM,>=120,1,39F3,3B2,BT1,CPART13B,O15M,2014
IIA,4,ENG,40,NONE,BEAM,>=120,1,39F4,3B2,BT1,CPART13B,O15M,2014
IIA,4,ENG,40,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2014
IIA,4,ENG,76,NONE,BEAM,>=120,1,40F5,3B2,BT1,CPART13B,O15M,2014
IIA,4,ENG,36,NONE,BEAM,>=120,1,41F5,3B2,BT1,CPART13B,O15M,2014
IIA,4,ENG,70,NONE,BEAM,100-119,1,38F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,30,NONE,BEAM,100-119,1,38F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,150,NONE,BEAM,100-119,1,39F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,432,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,214,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,94,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,71,NONE,BEAM,80-89,1,31F1,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,118,NONE,BEAM,80-89,1,32F1,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,1400,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,96,NONE,BEAM,80-89,1,32F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,27,NONE,BEAM,80-89,1,33F1,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,484,NONE,BEAM,80-89,1,33F2,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,123,NONE,BEAM,80-89,1,33F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,107,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,39,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,18,NONE,BEAM,80-89,1,34F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,144,NONE,BEAM,80-89,1,35F1,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,229,NONE,BEAM,80-89,1,35F2,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,90,NONE,BEAM,80-89,1,35F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,149,NONE,BEAM,80-89,1,36F1,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,108,NONE,BEAM,80-89,1,36F2,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,130,NONE,BEAM,80-89,1,36F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,389,NONE,BEAM,80-89,1,36F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,125,NONE,BEAM,80-89,1,36F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,159,NONE,BEAM,80-89,1,37F3,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,426,NONE,BEAM,80-89,1,37F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,1383,NONE,BEAM,80-89,1,37F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,275,NONE,BEAM,80-89,1,37F6,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,498,NONE,BEAM,80-89,1,38F4,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,709,NONE,BEAM,80-89,1,38F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,727,NONE,BEAM,80-89,1,38F6,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,370,NONE,BEAM,80-89,1,39F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,329,NONE,BEAM,80-89,1,39F6,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,15,NONE,BEAM,80-89,1,39F7,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,202,NONE,BEAM,80-89,1,40F5,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,1792,NONE,BEAM,80-89,1,40F6,3B2,BT2,CPART13B,O15M,2014
IIA,4,ENG,15,NONE,BEAM,80-89,1,40F7,3B2,BT2,CPART13B,O15M,2014
IIA,4,BEL,1245,TBB_CRU_16-31_0_0,BEAM,16-31,1,31F2,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,72,TBB_CRU_16-31_0_0,BEAM,16-31,1,31F3,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,26,TBB_CRU_16-31_0_0,BEAM,16-31,1,33F1,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,94,TBB_CRU_16-31_0_0,BEAM,16-31,1,33F4,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,96,TBB_CRU_16-31_0_0,BEAM,16-31,1,34F4,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,24,TBB_CRU_16-31_0_0,BEAM,16-31,1,36F4,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,89,TBB_CRU_16-31_0_0,BEAM,16-31,1,36F5,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,30,TBB_CRU_16-31_0_0,BEAM,16-31,1,38F7,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,112,TBB_CRU_16-31_0_0,BEAM,16-31,1,39F7,3B2,BEAM,NONE,O15M,2014
IIA,4,BEL,224,TBB_DEF_70-99_0_0,BEAM,80-89,1,31F1,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,2289,TBB_DEF_70-99_0_0,BEAM,80-89,1,31F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,20,TBB_DEF_70-99_0_0,BEAM,80-89,1,31F3,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,560,TBB_DEF_70-99_0_0,BEAM,80-89,1,32F1,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,1013,TBB_DEF_70-99_0_0,BEAM,80-89,1,32F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,524,TBB_DEF_70-99_0_0,BEAM,80-89,1,33F1,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,446,TBB_DEF_70-99_0_0,BEAM,80-89,1,33F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,80,TBB_DEF_70-99_0_0,BEAM,80-89,1,34F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,28,TBB_DEF_70-99_0_0,BEAM,80-89,1,35F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,6,TBB_DEF_70-99_0_0,BEAM,80-89,1,36F3,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,83,TBB_DEF_70-99_0_0,BEAM,80-89,1,37F2,3B2,BT2,NONE,O15M,2014
IIA,4,BEL,20,TBB_DEF_70-99_0_0,BEAM,80-89,1,38E9,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,206,NONE,BEAM,16-31,1,34F4,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,273,NONE,BEAM,16-31,1,35F4,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,185,NONE,BEAM,16-31,1,35F5,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,106,NONE,BEAM,16-31,1,35F6,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,57,NONE,BEAM,16-31,1,35F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,230,NONE,BEAM,16-31,1,36F5,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,1426,NONE,BEAM,16-31,1,36F6,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,2294,NONE,BEAM,16-31,1,36F7,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,2338,NONE,BEAM,16-31,1,36F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,98,NONE,BEAM,16-31,1,37F7,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,5385,NONE,BEAM,16-31,1,37F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,782,NONE,BEAM,16-31,1,38F7,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,3164,NONE,BEAM,16-31,1,38F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,2917,NONE,BEAM,16-31,1,39F7,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,744,NONE,BEAM,16-31,1,39F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,521,NONE,BEAM,16-31,1,40F7,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,69,NONE,BEAM,16-31,1,40F8,3B2,BEAM,NONE,O15M,2014
IIA,4,DEU,106,NONE,BEAM,80-89,1,32F2,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,193,NONE,BEAM,80-89,1,32F3,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,60,NONE,BEAM,80-89,1,33F3,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,2,NONE,BEAM,80-89,1,34F3,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,355,NONE,BEAM,80-89,1,34F4,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,42,NONE,BEAM,80-89,1,35F3,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,17,NONE,BEAM,80-89,1,35F4,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,513,NONE,BEAM,80-89,1,36F3,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,675,NONE,BEAM,80-89,1,36F4,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,97,NONE,BEAM,80-89,1,36F5,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,26,NONE,BEAM,80-89,1,37F4,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,343,NONE,BEAM,80-89,1,37F5,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,113,NONE,BEAM,80-89,1,37F6,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,34,NONE,BEAM,80-89,1,38F5,3B2,BT2,NONE,O15M,2014
IIA,4,DEU,156,NONE,BEAM,80-89,1,38F6,3B2,BT2,NONE,O15M,2014
