annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,BEL,NONE,BEAM,0.765,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.065,16-31,1,31F3,3B2,BEAM,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,6.045,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,20.96,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,3.717,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,16.648,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,16.109,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.61,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,2.617,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,16.115,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.56,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.475,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.15,80-89,1,34F1,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,1.215,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.085,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.8,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2003
IIA,4,BEL,NONE,BEAM,0.074,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2003
