annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,BEL,NONE,BEAM,0.002,16-31,1,31F2,3B2,BEAM,SOL,NONE,O10T15M,2005
IIA,4,BEL,NONE,BEAM,1.107,80-89,1,31F2,3B2,BT2,SOL,NONE,O10T15M,2005
IIA,4,BEL,NONE,BEAM,0.18,80-89,1,32F2,3B2,BT2,SOL,NONE,O10T15M,2005
IIA,4,DEU,NONE,BEAM,0.018,80-89,1,36F7,3B2,BT2,SOL,NONE,O10T15M,2005
IIA,4,BEL,NONE,BEAM,0.054,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,29.056,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,33.066,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,1.48,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,33.885,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,63.906,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.75,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,2.52,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,68.855,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,10.047,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.15,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.27,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.09,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.085,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.3,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.21,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.49,80-89,1,37E9,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,5.649,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.225,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.475,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.13,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,2.041,80-89,1,38E9,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,BEL,NONE,BEAM,0.248,80-89,1,38F0,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,2.089,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,2.836,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,1.348,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,10.167,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,6.056,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,6.277,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,5.521,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,1.11,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,4.27,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,5.827,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,0.04,80-89,1,35F5,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,0.481,80-89,1,36F1,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,4.68,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,6.051,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,16.07,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,1.835,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,1.53,80-89,1,36F6,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,1.16,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,3.12,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,0.68,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,6.885,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,6.715,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,0.65,80-89,1,38F4,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DEU,NONE,BEAM,0.05,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.003,>=120,1,37F6,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.188,>=120,1,38F6,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.54,>=120,1,39F6,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.061,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.006,>=120,1,42F5,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.023,>=120,1,42F6,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.07,>=120,1,42F7,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,1.511,>=120,1,43F7,3B2,BT1,SOL,NONE,O15M,2005
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.078,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2005
