annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,FRA,TBB_DEF_70-99_0_0,BEAM,2.69955,80-89,1,31F1,3B2,BT2,SOL,NONE,O10T15M,2009
IIA,4,ENG,NONE,BEAM,0.9574,80-89,1,32F1,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,ENG,NONE,BEAM,0.2683,80-89,1,32F2,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,ENG,NONE,BEAM,3.4493,80-89,1,33F1,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,ENG,NONE,BEAM,5.7101,80-89,1,33F2,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,ENG,NONE,BEAM,0.0523,80-89,1,36F2,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,ENG,NONE,BEAM,1.9915,80-89,1,36F3,3B2,BT2,SOL,CPART13B,O15M,2009
IIA,4,BEL,NONE,BEAM,0.555,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,39.817,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,62.408,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,1.522,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,43.866,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,88.983,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,0.495,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,9.15,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,160.004,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,0.01,80-89,1,34F1,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,9.728,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,1.306,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,9.572,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,11.35,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,1.468,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,1.16,80-89,1,38E9,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,BEL,NONE,BEAM,0.06,80-89,1,38F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.416,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,3.772,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.083,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.2,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.35,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.624,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.55,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,8.02,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,22.19,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,11.096,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.542,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,16.761,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,16.655,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.05,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2009
IIA,4,DEU,NONE,BEAM,0.01,80-89,1,38F7,3B2,BT2,SOL,NONE,O15M,2009
