annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,BEL,NONE,BEAM,0.495,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.03,16-31,1,31F3,3B2,BEAM,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.135,16-31,1,33F2,3B2,BEAM,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,26.227,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,41.867,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,2.259,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,31.206,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,53.935,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,1.75,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,2.8,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,42.256,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.11,80-89,1,34F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,17.067,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,3.18,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.8,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.08,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.82,80-89,1,36F0,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.65,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.1,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,1.63,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,1,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.02,80-89,1,38E8,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,0.2,80-89,1,38E9,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,BEL,NONE,BEAM,2.41,80-89,1,38F0,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.17,>=120,1,41F7,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.12,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,7.035,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.62,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,24.805,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,1,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,9.855,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,4.41,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.84,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,2.52,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,2.432,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,7.64,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,8.05,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,29.073,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,1.046,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.45,80-89,1,37F1,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.765,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.555,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,3.594,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,3.316,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.735,80-89,1,38F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DEU,NONE,BEAM,0.16,80-89,1,39F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.018,>=120,1,37F7,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.202,>=120,1,39F6,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.075,>=120,1,40F6,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.101,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.07,>=120,1,41F6,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.124,>=120,1,42F5,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.487,>=120,1,42F6,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.416,>=120,1,42F7,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.113,>=120,1,43F6,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,3.068,>=120,1,43F7,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.666,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.311,90-99,1,40F6,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.0341,<16,1,33F1,3B2,BEAM,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.058,>=120,1,39F3,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.0076,>=120,1,40F4,3B2,BT1,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.1202,100-119,1,34F4,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.0773,100-119,1,37F2,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.108,100-119,1,37F6,3B2,BT2,SOL,NONE,O15M,2004
IIA,4,ENG,NONE,BEAM,0.1139,100-119,1,37F7,3B2,BT2,SOL,NONE,O15M,2004
