annex,area,country,fishery,gear,landings,mesh size range,quarter,ICES rectangle,regulated area,regulated gear,species,specon,vessel length,year
IIA,4,DEU,NONE,BEAM,0.5,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,4.3,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,39.65,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,5.138,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.005,80-89,1,36F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,2.16,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,6.73,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,8.07,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.001,80-89,1,37F8,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.4,80-89,1,39F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.157,>=120,1,42F7,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.115,>=120,1,43F6,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,3.276,>=120,1,43F7,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,1.197,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.065,100-119,1,42F7,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_BOMTRWL___NS,BEAM,0.302,100-119,1,43F7,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0012,>=120,1,39F5,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0016,>=120,1,40F5,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.2808,100-119,1,33F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0612,100-119,1,35F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0287,100-119,1,36F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,1.0386,100-119,1,36F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.4001,100-119,1,36F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.9004,100-119,1,37F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0725,100-119,1,38F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0016,100-119,1,38F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0287,100-119,1,39F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0176,100-119,1,39F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0026,100-119,1,39F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.2564,100-119,1,39F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.3764,100-119,1,39F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0622,100-119,1,40F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.2073,100-119,1,40F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.0026,100-119,1,40F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.3394,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.5176,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,1.5412,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,1.7208,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,3.1424,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,2.4407,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.3147,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,1.6353,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,4.2863,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,3.4663,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.754,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,2.1266,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.226,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,3.2175,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,10.9345,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,7.3149,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,3.5281,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,4.5839,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,2.6071,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,14.4659,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,5.8492,80-89,1,37F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.4299,80-89,1,38F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,8.0048,80-89,1,38F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,3.6148,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,9.7253,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,2.4652,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,BEAM,0.3577,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,3.807,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,166.967,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,9.345,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,2.18,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,135.48,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,190.867,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,1.77,80-89,1,32F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,43.772,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,239.848,80-89,1,33F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,17.044,80-89,1,33F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,70.223,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,139.451,80-89,1,34F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,110.684,80-89,1,34F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,24.616,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,54.349,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,69.243,80-89,1,35F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,80.567,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,0.33,80-89,1,35F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,2.774,80-89,1,36F0,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,20.184,80-89,1,36F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,28.323,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,31.722,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,158.06,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,98.874,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,1.432,80-89,1,36F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,5.035,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,8.905,80-89,1,37F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,2.795,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,1.04,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,14.983,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,81.662,80-89,1,37F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,86.168,80-89,1,37F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,4.704,80-89,1,37F7,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,0.24,80-89,1,38F0,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,17.455,80-89,1,38F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,19.623,80-89,1,38F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,1.408,80-89,1,38F7,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,0.6,80-89,1,39F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,2.394,80-89,1,39F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,0.05,80-89,1,40F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,NLD,FLAT,BEAM,0.47,80-89,1,40F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0682,<16,1,33F3,3B2,BEAM,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0004,>=120,1,39F3,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.005,>=120,1,40F4,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0024,>=120,1,40F5,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0117,>=120,1,41F5,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0011,100-119,1,37F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0004,100-119,1,38F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0035,100-119,1,38F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0016,100-119,1,39F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0217,100-119,1,39F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0009,100-119,1,40F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0021,100-119,1,40F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.0294,80-89,1,35F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,1.0007,80-89,1,36F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,1.1676,80-89,1,36F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,6.2005,80-89,1,36F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,8.3342,80-89,1,36F5,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.6134,80-89,1,36F6,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,0.2201,80-89,1,37F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,1.6605,80-89,1,37F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,SCO,NONE,BEAM,7.3025,80-89,1,37F4,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,0.187,16-31,1,31F2,3B2,BEAM,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,21.165,80-89,1,31F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,27.496,80-89,1,31F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,1.771,80-89,1,31F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,51.266,80-89,1,32F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,20.195,80-89,1,32F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,0.085,80-89,1,32F3,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,3.335,80-89,1,33F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,45.583,80-89,1,33F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,3.158,80-89,1,34F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,21.519,80-89,1,34F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,8.976,80-89,1,35F1,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,1.3,80-89,1,35F2,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,5.81,80-89,1,37F0,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,1.115,80-89,1,38E9,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,BEL,NONE,BEAM,0.04,80-89,1,38F0,3B2,BT2,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.35,>=120,1,43F8,3B2,BT1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.005,16-31,1,37F8,3B2,BEAM,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,BEAM,0.002,32-54,1,37F8,3B2,BEAM,SOL,NONE,O15M,2008
IIA,4,ENG,NONE,DREDGE,0.0036,<16,1,37E9,3B2,DREDGE,SOL,NONE,O10T15M,2008
IIA,4,DEU,NONE,GILL,1.85,100-109,1,32F2,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,GILL,2.195,100-109,1,33F3,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,GILL,3.29,100-109,1,34F3,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,GILL,1.775,110-149,1,34F3,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,GILL,0.001,150-219,1,41F7,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DEU,NONE,GILL,2.151,90-99,1,32F2,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_RSP___N,GILL,0.03,110-149,1,39F5,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_RSP___N,GILL,0.003,110-149,1,39F6,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_RSP___N,GILL,0.109,110-149,1,40F6,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_RSP___N,GILL,1.333,110-149,1,41F7,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_RSP___N,GILL,0.021,110-149,1,42F6,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_TNG___N,GILL,0.176,110-149,1,41F7,3B2,GN1,SOL,NONE,O15M,2008
IIA,4,DNK,DNK_GARN_TOR___N,GILL,0.001,110-149,1,43F8,3B2,GN1,SOL,NONE,O15M,2008
