annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,72,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2011
IIA,4,ENG,24,NONE,BEAM,>=120,1,41F4,3B2,BT1,CPART13B,O15M,2011
IIA,4,ENG,24,NONE,BEAM,100-119,1,37F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,128,NONE,BEAM,100-119,1,38F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,48,NONE,BEAM,100-119,1,38F4,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,240,NONE,BEAM,100-119,1,38F6,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,60,NONE,BEAM,100-119,1,39F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,492,NONE,BEAM,100-119,1,39F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,568,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,672,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,300,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,90,NONE,BEAM,80-89,1,31F1,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,642,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,558,NONE,BEAM,80-89,1,33F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,48,NONE,BEAM,80-89,1,33F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,29,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,437,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,149,NONE,BEAM,80-89,1,35F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,48,NONE,BEAM,80-89,1,35F3,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,1437,NONE,BEAM,80-89,1,36F2,3B2,BT2,CPART13B,O15M,2011
IIA,4,ENG,409,NONE,BEAM,80-89,1,36F3,3B2,BT2,CPART13B,O15M,2011
