annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,ENG,24,NONE,BEAM,>=120,1,40F4,3B2,BT1,CPART13B,O15M,2016
IIA,4,ENG,24,NONE,BEAM,>=120,1,40F5,3B2,BT1,CPART13B,O15M,2016
IIA,4,ENG,24,NONE,BEAM,100-119,1,38F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,29,NONE,BEAM,100-119,1,38F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,24,NONE,BEAM,100-119,1,38F5,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,372,NONE,BEAM,100-119,1,39F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,563,NONE,BEAM,100-119,1,39F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,120,NONE,BEAM,100-119,1,40F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,1210,NONE,BEAM,100-119,1,40F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,354,NONE,BEAM,100-119,1,40F5,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,96,NONE,BEAM,100-119,1,40F6,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,60,NONE,BEAM,80-89,1,31F1,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,102,NONE,BEAM,80-89,1,31F2,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,502,NONE,BEAM,80-89,1,32F1,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,1086,NONE,BEAM,80-89,1,32F2,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,162,NONE,BEAM,80-89,1,32F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,308,NONE,BEAM,80-89,1,33F2,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,237,NONE,BEAM,80-89,1,33F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,24,NONE,BEAM,80-89,1,33F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,249,NONE,BEAM,80-89,1,34F2,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,106,NONE,BEAM,80-89,1,34F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,11,NONE,BEAM,80-89,1,34F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,192,NONE,BEAM,80-89,1,35F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,41,NONE,BEAM,80-89,1,35F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,180,NONE,BEAM,80-89,1,36F2,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,349,NONE,BEAM,80-89,1,36F3,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,51,NONE,BEAM,80-89,1,36F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,44,NONE,BEAM,80-89,1,36F5,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,83,NONE,BEAM,80-89,1,37F4,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,419,NONE,BEAM,80-89,1,37F5,3B2,BT2,CPART13B,O15M,2016
IIA,4,ENG,187,NONE,BEAM,80-89,1,37F6,3B2,BT2,CPART13B,O15M,2016
